Title,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Artist9,ArtistA,ArtistB,Words1,Words2,Words3,Words4,Words5,Music1,Music2,Music3,Music4,Arrangement1,Arrangement2,Arrangement3,Album,Year,TrackNum,TotalTracks,YouTube,Length
Taking It Home with Me,Allison Larkin,Jayson Seegmiller,Denise Smith,Priscilla Packard,Elizabeth Wold,Todd Seamons,Cindy Harper,Taylor Anderson,Becky Garrett,Richard Benson,Junior Salima,Vickey Pahnke Taylor,Steve James,,,,Vickey Pahnke Taylor,Steve James,,,,,,EFY 1995: Return with Honor (1995),1995,12,13,,
You’ll Never Walk Alone(Bonus Track),The Tabernacle Choir at Temple Square,,,,,,,,,,,Oscar Hammerstein II,,,,,Richard Rodgers,,,,,,,EFY 1995: Return with Honor (1995),1995,13,13,,
Living the Legacy,Marla Bulleigh,Choir,,,,,,,,,,Kenneth Cope,Julie de Azevedo,,,,Kenneth Cope,Julie de Azevedo,,,,,,EFY 1996: Living the Legacy (1996),1996,1,11,,
Amazing Things,Julie de Azevedo,,,,,,,,,,,Julie de Azevedo,Tom Hopkins,,,,Julie de Azevedo,Tom Hopkins,,,,,,EFY 1996: Living the Legacy (1996),1996,2,11,,
Hold On,Greg Simpson,,,,,,,,,,,Greg Simpson,,,,,Greg Simpson,,,,,,,EFY 1996: Living the Legacy (1996),1996,3,11,,
White Dress,Kenneth Cope,,,,,,,,,,,Kenneth Cope,,,,,Kenneth Cope,,,,,,,EFY 1996: Living the Legacy (1996),1996,4,11,,
Knockin’ on the Door,Michael Webb,,,,,,,,,,,Greg Simpson,,,,,Greg Simpson,,,,,,,EFY 1996: Living the Legacy (1996),1996,5,11,,
Firstborn,Becky Garrett,,,,,,,,,,,Cori Connors,,,,,Cori Connors,Kenneth Cope,,,,,,EFY 1996: Living the Legacy (1996),1996,6,11,,
Masterpiece,Julie de Azevedo,,,,,,,,,,,Julie de Azevedo,Greg Simpson,,,,Julie de Azevedo,Greg Simpson,,,,,,EFY 1996: Living the Legacy (1996),1996,7,11,,
You Don’t Have to Walk the Plains,Brett Raymond,,,,,,,,,,,Dean Kaelin,Susan Kaelin,Kenneth Cope,,,Dean Kaelin,Susan Kaelin,Kenneth Cope,,,,,EFY 1996: Living the Legacy (1996),1996,8,11,,
